Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.5,258267465,30996,8332.3,6432.0,5984,16384,3366.3,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
9.0,126008996,15708,8022.0,4096.0,2720,833920,60393.1,"void at::native::cunn_SoftMaxForward<__half, float, __half, unsigned int, int, at::native::SoftMaxForwardEpilogue>(T3 *, const T1 *, T4, const T5 *)"
8.1,112607041,644,174855.7,174848.0,173728,176032,361.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_tn_align8>(T1::Params)
8.1,112488736,7812,14399.5,14336.0,12000,15840,380.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
8.0,110874848,7812,14192.9,14176.0,13888,16256,189.2,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
6.2,86397356,8064,10714.0,10720.0,6592,12640,798.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
5.1,70867717,24255,2921.8,2848.0,2688,15200,997.3,"void at::native::LayerNormForwardCUDAKernel<__half, unsigned int>(T2, float, const T1 *, const T1 *, const T1 *, T1 *)"
4.8,66218847,30996,2136.4,2176.0,1696,2784,257.3,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, __half, __half, __half, (bool)1, (bool)1, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
4.4,61838045,7812,7915.8,7904.0,5792,8800,265.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_tn_align2>(T1::Params)
4.1,57092642,637,89627.4,93248.0,55008,95296,7829.6,"ctranslate2::ops::gather_rows_kernel(ctranslate2::ops::GatherRowsArgs, const int *, unsigned int)"
3.4,47195211,23856,1978.3,1824.0,1536,12032,1140.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::inner_dim_offset_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
2.5,34934223,7728,4520.5,4640.0,3072,4960,419.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x1_tn_align8>(T1::Params)
2.4,33674130,7728,4357.4,4448.0,2720,4736,369.7,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
2.3,32660849,644,50715.6,50720.0,50560,50816,36.5,"void fastertransformer::topk_stage_1<__half, (int)128, (int)8>(T1 *, int *, T1 *, int, int)"
2.1,29034863,16044,1809.7,1376.0,1312,41920,3577.7,"void ctranslate2::transpose_0213<uint4>(const T1 *, unsigned int, unsigned int, unsigned int, T1 *)"
1.6,22256538,168,132479.4,132640.0,129985,135360,1320.3,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel__5x_cublas
1.5,20875205,7896,2643.8,2240.0,2112,40448,3883.3,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::binary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::cuda::repeat_vec_block<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::ops::op_epilogue<__half, ctranslate2::cuda::plus<__half>, ctranslate2::cuda::gelu_func<__half>>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
1.4,20188364,15624,1292.1,1280.0,1216,1345,21.6,"void ctranslate2::copy_2d_kernel<half_float::half>(const T1 *, unsigned int, T1 *, unsigned int, unsigned int)"
1.2,16078754,168,95706.9,93280.0,2688,192992,93136.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_tn_align2>(T1::Params)
1.0,14306370,168,85157.0,85328.0,42560,127648,41910.7,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_tn_align8>(T1::Params)
0.9,13221638,623,21222.5,20928.0,14240,23712,1153.6,"void ctranslate2::ops::timestamp_gate_kernel<__half>(T1 *, const int *, unsigned int, unsigned int, unsigned int, float)"
0.9,12280449,84,146195.8,146192.0,145120,147264,362.7,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_64x128_64x3_nn_align2>(T1::Params)
0.8,11655494,644,18098.6,17440.0,17344,23072,1705.0,"void at::native::cunn_SoftMaxForward<__half, float, __half, unsigned int, int, at::native::LogSoftMaxForwardEpilogue>(T3 *, const T1 *, T4, const T5 *)"
0.4,5689986,84,67737.9,67808.0,67072,68640,357.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
0.2,3280160,644,5093.4,5088.0,5056,5120,17.7,"void fastertransformer::topk_stage_2<__half, (int)128, (int)8>(const int *, T1 *, int *, T1 *, int, int, int)"
