Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.4,927606528,2315,400694.0,11840.0,3380,16126187,982846.7,cudaMemcpyAsync
12.8,160003877,18203,8790.0,4940.0,920,18046632,231957.5,cudaLaunchKernel
3.4,42387602,567,74757.7,72402.0,67721,184194,12215.9,cudaGraphLaunch
2.7,33328959,14,2380639.9,2233972.5,778488,4966236,1465074.3,cuLibraryLoadData
1.4,17660142,6,2943357.0,3140.0,1480,17645422,7202511.6,cudaDeviceSynchronize
1.4,17201556,2253,7635.0,1421.0,860,9664896,204271.6,cudaMallocAsync
0.8,10402095,1680,6191.7,620.0,410,4546056,136578.5,cuKernelGetFunction
0.7,8291808,1680,4935.6,5041.0,820,23391,1864.3,cuLaunchKernel
0.6,7187808,14,513414.9,438420.0,410930,1366692,247578.0,cudaGraphInstantiate
0.3,3760306,7,537186.6,80152.0,7420,2601581,952610.4,cudaFree
0.3,3319571,2253,1473.4,1250.0,930,27150,1029.8,cudaFreeAsync
0.2,3081341,2,1540670.5,1540670.5,1528465,1552876,17261.2,cudaGetDeviceProperties
0.2,2073666,9,230407.3,122232.0,28861,800418,255593.1,cuLibraryUnload
0.2,1934965,14,138211.8,128268.0,119433,250346,32800.7,cudaGraphExecDestroy
0.2,1892854,1,1892854.0,1892854.0,1892854,1892854,0.0,cudaHostAlloc
0.1,1175183,182,6457.0,5840.0,5411,33991,3081.0,cudaLaunchKernelExC
0.1,901020,8,112627.5,119673.0,9400,156773,43907.0,cudaStreamSynchronize
0.1,787058,1,787058.0,787058.0,787058,787058,0.0,cudaFreeHost
0.1,768669,14,54904.9,53522.0,52321,68732,4414.4,cudaGraphDestroy
0.0,486766,1676,290.4,250.0,160,6851,217.8,cuGetProcAddress_v2
0.0,459930,5,91986.0,123933.0,3390,194344,82316.2,cudaMalloc
0.0,415400,1,415400.0,415400.0,415400,415400,0.0,cudaStreamCreate
0.0,384843,1093,352.1,270.0,210,64932,1956.9,cudaMemsetAsync
0.0,378629,16,23664.3,3395.0,2770,260426,64308.0,cudaStreamCreateWithFlags
0.0,261575,14,18683.9,17475.0,15171,29941,3930.1,cudaStreamBeginCapture
0.0,96242,22,4374.6,4090.5,440,9590,3482.7,cuLibraryGetKernel
0.0,82661,14,5904.4,5845.0,5460,7121,445.0,cudaStreamEndCapture
0.0,60951,17,3585.4,2930.0,2610,9170,1900.5,cudaStreamDestroy
0.0,20080,19,1056.8,570.0,500,5320,1213.3,cudaEventCreateWithFlags
0.0,15120,6,2520.0,2520.0,1510,3640,684.8,cuInit
0.0,14301,19,752.7,610.0,440,2600,493.7,cudaEventDestroy
0.0,7930,1,7930.0,7930.0,7930,7930,0.0,cudaEventRecord
0.0,3221,5,644.2,300.0,201,2180,860.4,cuModuleGetLoadingMode
0.0,1710,2,855.0,855.0,470,1240,544.5,cudaGetDriverEntryPoint
