Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.9,1175268585,4163,282312.9,5000.0,3400,15695946,828730.5,cudaMemcpyAsync
11.2,176362600,24384,7232.7,4710.0,900,17975350,199945.8,cudaLaunchKernel
3.8,59057355,609,96974.3,92052.0,86592,203524,19759.4,cudaGraphLaunch
2.1,33202926,14,2371637.6,2203906.5,780848,4960876,1459168.7,cuLibraryLoadData
1.6,25818866,7287,3543.1,4760.0,760,22600,2258.6,cuLaunchKernel
1.3,20163190,6,3360531.7,3020.0,1440,20149440,8224851.8,cudaDeviceSynchronize
1.3,19768033,28,706001.2,615720.0,534652,2014367,359664.8,cudaGraphInstantiate
1.2,18318659,2810,6519.1,1360.0,870,9567683,181331.2,cudaMallocAsync
0.8,13176703,7287,1808.2,500.0,370,4568527,65644.2,cuKernelGetFunction
0.3,5157788,28,184206.7,174759.0,151604,328468,38515.9,cudaGraphExecDestroy
0.3,4047496,2810,1440.4,1270.0,900,18141,775.8,cudaFreeAsync
0.2,3832381,7,547483.0,76632.0,8810,2645792,966862.6,cudaFree
0.2,3067492,2,1533746.0,1533746.0,1531226,1536266,3563.8,cudaGetDeviceProperties
0.2,2389924,8,298740.5,13255.0,9260,1100306,495264.8,cudaStreamSynchronize
0.1,2101461,28,75052.2,72342.0,69402,95923,6905.3,cudaGraphDestroy
0.1,1830593,1,1830593.0,1830593.0,1830593,1830593,0.0,cudaHostAlloc
0.1,1369891,9,152210.1,92732.0,37591,358148,138068.2,cuLibraryUnload
0.1,1160150,182,6374.5,5820.0,5320,32561,2842.1,cudaLaunchKernelExC
0.0,757548,1,757548.0,757548.0,757548,757548,0.0,cudaFreeHost
0.0,481730,1676,287.4,250.0,160,6340,206.2,cuGetProcAddress_v2
0.0,468382,1408,332.7,270.0,210,64412,1710.4,cudaMemsetAsync
0.0,456090,5,91218.0,115313.0,3380,200014,83431.8,cudaMalloc
0.0,422820,1,422820.0,422820.0,422820,422820,0.0,cudaStreamCreate
0.0,369548,16,23096.8,3405.0,2690,250126,61769.4,cudaStreamCreateWithFlags
0.0,336138,28,12004.9,10110.0,3841,28920,8451.8,cudaStreamBeginCapture
0.0,197901,28,7067.9,7025.0,6400,8320,403.3,cudaStreamEndCapture
0.0,100540,24,4189.2,1755.0,480,10000,3514.9,cuLibraryGetKernel
0.0,59531,17,3501.8,2900.0,2730,7860,1647.0,cudaStreamDestroy
0.0,19540,19,1028.4,570.0,510,5240,1162.5,cudaEventCreateWithFlags
0.0,14830,6,2471.7,2465.0,1330,3470,700.6,cuInit
0.0,13450,19,707.9,600.0,420,2830,541.4,cudaEventDestroy
0.0,8021,1,8021.0,8021.0,8021,8021,0.0,cudaEventRecord
0.0,3050,5,610.0,350.0,210,1850,698.8,cuModuleGetLoadingMode
0.0,1330,2,665.0,665.0,420,910,346.5,cudaGetDriverEntryPoint
