Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.4,5692257,84,67765.0,67776.0,66880,68608,378.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
0.2,3285151,644,5101.2,5088.0,5056,5152,18.7,"void fastertransformer::topk_stage_2<__half, (int)128, (int)8>(const int *, T1 *, int *, T1 *, int, int, int)"
0.1,2220032,652,3405.0,2944.0,2016,331328,12863.3,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::batch_gather_index_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,1812480,644,2814.4,2816.0,2144,3040,109.8,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<thrust::THRUST_200700_860_NS::permutation_iterator<thrust::THRUST_200700_860_NS::device_ptr<__half>, thrust::THRUST_200700_860_NS::device_ptr<const int>>, __half>>(T2, T3)"
0.1,1671712,644,2595.8,2592.0,2496,2720,34.7,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::binary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::cuda::repeat_vec_depth<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::cuda::plus<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,1548480,175,8848.5,9280.0,1472,10432,1810.6,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::tiled_index_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,1538720,644,2389.3,2016.0,1920,4704,878.2,"void ctranslate2::ops::fill_ranges_kernel<__half>(T1 *, const int *, unsigned int, float)"
0.1,1251264,658,1901.6,1824.0,1728,9312,742.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::binary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::cuda::repeat_vec<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::cuda::plus<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,1017344,651,1562.7,1568.0,1152,1696,48.3,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<int *, int>>(T2, T3)"
0.0,759072,42,18073.1,13504.0,2336,52864,16399.0,"void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
0.0,670016,7,95716.6,95744.0,95360,95872,187.0,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,317824,170,1869.6,1872.0,1184,1952,71.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<half_float::half *, half_float::half>>(T2, T3)"
0.0,306592,168,1825.0,1824.0,1760,1984,40.6,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, __half, __half, float, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.0,218848,7,31264.0,31296.0,30752,31456,236.6,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x128x32_stage3_warpsize4x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,212608,84,2531.0,2528.0,2496,2560,19.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_nn_align2>(T1::Params)
0.0,153504,14,10964.6,10832.0,5184,16672,5679.2,"void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<T3>, const T1 *, T2 *)"
0.0,148896,7,21270.9,21152.0,20736,22048,575.0,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::perm_indices_3d<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::identity<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.0,147648,14,10546.3,10528.0,6240,14976,4379.4,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::cuda::gelu_func<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.0,16352,14,1168.0,1168.0,1120,1216,34.9,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<signed char *, signed char>>(T2, T3)"
0.0,10368,7,1481.1,1504.0,1344,1536,63.2,"ctranslate2::prepare_length_mask_kernel(const int *, unsigned int, unsigned int, bool, bool, int *)"
