Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.8,4544500,528,8607.0,7264.0,1824,18560,6448.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<const uint4 *, thrust::THRUST_200700_860_NS::permutation_iterator<uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::inner_dim_offset_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.8,4304143,187,23016.8,23008.0,22720,23264,94.9,"void at::native::cunn_SoftMaxForward<__half, float, __half, unsigned int, int, at::native::LogSoftMaxForwardEpilogue>(T3 *, const T1 *, T4, const T5 *)"
0.5,2966169,2519,1177.5,1152.0,1120,1824,97.4,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<int *, int>>(T2, T3)"
0.3,1679129,132,12720.7,12704.0,12575,12928,62.8,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(Flash_fwd_params)"
0.2,1187962,66,17999.4,13456.0,2336,52480,16278.1,"void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
0.2,1055711,11,95973.7,95936.0,95712,96287,174.4,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.2,954365,187,5103.6,5120.0,5056,5152,20.8,"void fastertransformer::topk_stage_2<__half, (int)128, (int)8>(const int *, T1 *, int *, T1 *, int, int, int)"
0.1,584924,198,2954.2,3008.0,1920,3232,249.6,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::batch_gather_index_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,531739,209,2544.2,2208.0,1760,9119,1531.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::binary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::cuda::repeat_vec<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::cuda::plus<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,512350,187,2739.8,2784.0,2144,3040,198.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<thrust::THRUST_200700_860_NS::permutation_iterator<thrust::THRUST_200700_860_NS::device_ptr<__half>, thrust::THRUST_200700_860_NS::device_ptr<const int>>, __half>>(T2, T3)"
0.1,509694,275,1853.4,1856.0,1472,1984,83.1,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::tiled_index_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,485951,187,2598.7,2592.0,2527,2720,37.9,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::binary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::cuda::repeat_vec_depth<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::cuda::plus<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.1,484606,264,1835.6,1824.0,1760,2016,43.5,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, __half, __half, float, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
0.1,343869,11,31260.8,31264.0,31135,31456,98.8,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x128x32_stage3_warpsize4x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
0.0,238015,22,10818.9,10720.0,4896,16896,5830.2,"void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<T3>, const T1 *, T2 *)"
0.0,235808,22,10718.5,10656.0,6272,15264,4471.7,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::cuda::gelu_func<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.0,233856,11,21259.6,21216.0,21152,21376,71.9,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::perm_indices_3d<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::identity<__half>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
0.0,25183,22,1144.7,1152.0,1120,1152,13.7,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__fill::functor<signed char *, signed char>>(T2, T3)"
0.0,16032,11,1457.5,1440.0,1408,1536,33.1,"ctranslate2::prepare_length_mask_kernel(const int *, unsigned int, unsigned int, bool, bool, int *)"
