Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.4,1802177566,352474,5112.9,4700.0,3960,17971354,52911.7,cudaLaunchKernel
17.6,431336793,5003,86215.6,11381.0,3450,16443747,577467.7,cudaMemcpyAsync
4.1,99957674,20328,4917.2,4700.0,4180,39561,1494.3,cuLaunchKernel
1.4,33353766,14,2382411.9,2159957.5,768518,4959180,1460666.7,cuLibraryLoadData
1.0,24259878,20328,1193.4,710.0,400,4579950,39489.0,cuKernelGetFunction
0.8,19730696,3126,6311.8,1480.0,830,9622862,172931.3,cudaMallocAsync
0.7,17518994,6,2919832.3,2835.5,1490,17505443,7145460.8,cudaDeviceSynchronize
0.2,5285581,17389,304.0,270.0,210,32821,366.5,cudaMemsetAsync
0.2,5102850,3126,1632.4,1400.0,950,18650,948.0,cudaFreeAsync
0.2,3759471,7,537067.3,77032.0,8130,2610253,956489.1,cudaFree
0.1,3074824,2,1537412.0,1537412.0,1522467,1552357,21135.4,cudaGetDeviceProperties
0.1,1763693,1,1763693.0,1763693.0,1763693,1763693,0.0,cudaHostAlloc
0.1,1424137,8,178017.1,202695.0,9821,217906,69712.5,cudaStreamSynchronize
0.1,1406214,9,156246.0,75172.0,27161,373869,139457.8,cuLibraryUnload
0.0,1162041,182,6384.8,5675.0,5070,32850,3301.5,cudaLaunchKernelExC
0.0,793829,1,793829.0,793829.0,793829,793829,0.0,cudaFreeHost
0.0,490321,1,490321.0,490321.0,490321,490321,0.0,cudaStreamCreate
0.0,484644,1676,289.2,230.0,170,17390,464.7,cuGetProcAddress_v2
0.0,436209,5,87241.8,105082.0,3410,194114,80527.2,cudaMalloc
0.0,343899,16,21493.7,3125.5,2440,223075,54966.4,cudaStreamCreateWithFlags
0.0,97401,24,4058.4,1870.5,470,8750,3271.5,cuLibraryGetKernel
0.0,62332,17,3666.6,2980.0,2790,9431,1916.9,cudaStreamDestroy
0.0,33861,19,1782.2,540.0,510,13741,3246.8,cudaEventCreateWithFlags
0.0,14000,6,2333.3,2235.0,1270,3980,892.4,cuInit
0.0,13520,19,711.6,550.0,440,3120,612.5,cudaEventDestroy
0.0,7170,1,7170.0,7170.0,7170,7170,0.0,cudaEventRecord
0.0,3430,5,686.0,270.0,210,2400,959.3,cuModuleGetLoadingMode
0.0,1420,2,710.0,710.0,480,940,325.3,cudaGetDriverEntryPoint
