Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.2,1726833708,8006,215692.4,5800.0,3321,15612802,660083.1,cudaMemcpyAsync
27.5,858371616,147332,5826.1,4940.0,970,18029629,81618.5,cudaLaunchKernel
9.5,295686195,55496,5328.1,4950.0,810,37761,1998.3,cuLaunchKernel
2.6,82665146,854,96797.6,92997.0,86032,296917,16779.5,cudaGraphLaunch
1.3,42104488,55496,758.7,560.0,370,4648318,24097.0,cuKernelGetFunction
1.1,33294123,14,2378151.6,2179190.5,773918,4929775,1458329.9,cuLibraryLoadData
0.7,22909452,6,3818242.0,2910.0,1510,22895512,9345915.5,cudaDeviceSynchronize
0.7,20996251,3510,5981.8,1450.0,890,9517601,161505.1,cudaMallocAsync
0.4,12927029,14,923359.2,690200.5,632405,2053248,471234.1,cudaGraphInstantiate
0.2,5740311,3510,1635.4,1350.0,910,27111,1119.3,cudaFreeAsync
0.1,4541372,14,324383.7,330237.5,279976,380608,26434.3,cudaGraphExecDestroy
0.1,3731055,7,533007.9,75321.0,8830,2616161,958563.2,cudaFree
0.1,3082121,2,1541060.5,1541060.5,1522415,1559706,26368.7,cudaGetDeviceProperties
0.1,2643141,7869,335.9,290.0,210,32631,646.8,cudaMemsetAsync
0.1,2081500,9,231277.8,139024.0,29811,825049,257398.2,cuLibraryUnload
0.1,1837984,8,229748.0,102747.5,9121,1160857,387809.4,cudaStreamSynchronize
0.1,1724550,1,1724550.0,1724550.0,1724550,1724550,0.0,cudaHostAlloc
0.0,1230459,14,87889.9,78972.0,70582,148373,23850.3,cudaGraphDestroy
0.0,1195605,182,6569.3,6050.0,5410,33071,2310.2,cudaLaunchKernelExC
0.0,858380,1,858380.0,858380.0,858380,858380,0.0,cudaFreeHost
0.0,482913,1676,288.1,230.0,160,17121,463.4,cuGetProcAddress_v2
0.0,477441,1,477441.0,477441.0,477441,477441,0.0,cudaStreamCreate
0.0,476020,5,95204.0,110952.0,3320,223595,91372.3,cudaMalloc
0.0,424770,16,26548.1,3060.0,2420,267086,67463.1,cudaStreamCreateWithFlags
0.0,205375,14,14669.6,9055.5,4010,27820,11248.4,cudaStreamBeginCapture
0.0,118302,14,8450.1,7955.0,6721,12460,1735.9,cudaStreamEndCapture
0.0,97174,24,4048.9,1415.0,430,9140,3421.4,cuLibraryGetKernel
0.0,60502,17,3558.9,2920.0,2770,8170,1680.5,cudaStreamDestroy
0.0,20680,19,1088.4,580.0,500,6500,1420.6,cudaEventCreateWithFlags
0.0,15070,6,2511.7,2270.0,1470,4460,1015.3,cuInit
0.0,12341,19,649.5,500.0,420,2481,466.3,cudaEventDestroy
0.0,7100,1,7100.0,7100.0,7100,7100,0.0,cudaEventRecord
0.0,3420,5,684.0,260.0,210,2390,955.1,cuModuleGetLoadingMode
0.0,1430,2,715.0,715.0,450,980,374.8,cudaGetDriverEntryPoint
