Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.6,1729110587,8006,215976.8,5690.0,3350,15628110,662602.8,cudaMemcpyAsync
27.2,846309958,147332,5744.2,4920.0,910,18036667,81672.8,cudaLaunchKernel
9.4,290944119,55496,5242.6,4940.0,750,38061,1901.5,cuLaunchKernel
2.7,82983677,854,97170.6,93317.0,87372,315498,18481.7,cudaGraphLaunch
1.3,41193828,55496,742.3,540.0,370,4647010,24141.9,cuKernelGetFunction
1.1,33420340,14,2387167.1,2214267.5,789479,5014668,1457362.4,cuLibraryLoadData
0.7,22944593,6,3824098.8,3645.0,1800,22927503,9358718.6,cudaDeviceSynchronize
0.7,21233187,3510,6049.3,1430.0,900,9642928,163757.0,cudaMallocAsync
0.4,12846495,14,917606.8,683866.0,599924,2085420,475963.8,cudaGraphInstantiate
0.2,5637583,3510,1606.1,1340.0,880,25150,967.3,cudaFreeAsync
0.1,4448713,14,317765.2,316252.0,279076,353189,23636.2,cudaGraphExecDestroy
0.1,3763438,7,537634.0,79332.0,9450,2645102,966557.5,cudaFree
0.1,3047462,2,1523731.0,1523731.0,1516216,1531246,10627.8,cudaGetDeviceProperties
0.1,2557725,7869,325.0,290.0,210,41831,617.1,cudaMemsetAsync
0.1,1966935,8,245866.9,195650.0,9540,1116916,363813.1,cudaStreamSynchronize
0.1,1673249,1,1673249.0,1673249.0,1673249,1673249,0.0,cudaHostAlloc
0.0,1354322,9,150480.2,99532.0,26981,403050,145980.8,cuLibraryUnload
0.0,1226389,14,87599.2,79282.0,70892,146723,23162.7,cudaGraphDestroy
0.0,1159043,182,6368.4,5950.0,5211,32440,2131.1,cudaLaunchKernelExC
0.0,835140,1,835140.0,835140.0,835140,835140,0.0,cudaFreeHost
0.0,490852,1,490852.0,490852.0,490852,490852,0.0,cudaStreamCreate
0.0,456097,1676,272.1,230.0,150,6181,198.6,cuGetProcAddress_v2
0.0,446091,5,89218.2,109313.0,3510,197765,81798.9,cudaMalloc
0.0,412349,16,25771.8,3080.0,2400,277407,69074.7,cudaStreamCreateWithFlags
0.0,202324,14,14451.7,8610.0,4030,28260,11076.5,cudaStreamBeginCapture
0.0,110861,14,7918.6,7695.5,6670,10250,1107.1,cudaStreamEndCapture
0.0,96032,24,4001.3,1615.0,460,8711,3260.0,cuLibraryGetKernel
0.0,62201,17,3658.9,2990.0,2610,8770,1892.0,cudaStreamDestroy
0.0,19031,19,1001.6,600.0,510,5201,1129.1,cudaEventCreateWithFlags
0.0,15031,19,791.1,580.0,440,3560,705.9,cudaEventDestroy
0.0,13980,6,2330.0,2200.0,1510,3720,762.5,cuInit
0.0,7110,1,7110.0,7110.0,7110,7110,0.0,cudaEventRecord
0.0,3010,5,602.0,220.0,200,2000,785.0,cuModuleGetLoadingMode
0.0,1530,2,765.0,765.0,460,1070,431.3,cudaGetDriverEntryPoint
