Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.8,2057358662,5003,411225.0,11970.0,3330,16357341,822962.8,cudaMemcpyAsync
8.2,203137267,28304,7177.0,4700.0,920,18148934,187503.9,cudaLaunchKernel
4.1,102416801,1365,75030.6,72862.0,67672,166154,10533.9,cudaGraphLaunch
1.3,33387599,14,2384828.5,2242364.0,769299,5038501,1470818.3,cuLibraryLoadData
0.7,17889903,2428,7368.2,1410.0,860,9680831,197390.8,cudaMallocAsync
0.7,17505578,6,2917596.3,3780.0,1370,17490268,7139122.1,cudaDeviceSynchronize
0.4,10763239,21,512535.2,462911.0,414750,1383884,202529.5,cudaGraphInstantiate
0.4,10596055,1848,5733.8,600.0,400,4571719,131385.2,cuKernelGetFunction
0.3,8604200,1848,4656.0,4910.0,790,27211,2108.3,cuLaunchKernel
0.2,3794481,7,542068.7,79452.0,7820,2638853,966172.0,cudaFree
0.1,3626843,2428,1493.8,1280.0,930,26711,911.8,cudaFreeAsync
0.1,3052213,2,1526106.5,1526106.5,1524546,1527667,2206.9,cudaGetDeviceProperties
0.1,2955829,21,140753.8,133133.0,123923,229535,23621.7,cudaGraphExecDestroy
0.1,1844525,8,230565.6,147678.5,9560,1049255,337716.6,cudaStreamSynchronize
0.1,1655570,1,1655570.0,1655570.0,1655570,1655570,0.0,cudaHostAlloc
0.1,1353051,9,150339.0,77851.0,35531,364908,129020.3,cuLibraryUnload
0.0,1155192,21,55009.1,53461.0,51501,70601,5186.4,cudaGraphDestroy
0.0,1137048,182,6247.5,5780.0,5251,33111,2562.3,cudaLaunchKernelExC
0.0,785519,1,785519.0,785519.0,785519,785519,0.0,cudaFreeHost
0.0,485682,1,485682.0,485682.0,485682,485682,0.0,cudaStreamCreate
0.0,478003,1676,285.2,230.0,160,18791,494.4,cuGetProcAddress_v2
0.0,453200,5,90640.0,105062.0,3320,207465,85275.0,cudaMalloc
0.0,406909,1261,322.7,280.0,210,32831,919.3,cudaMemsetAsync
0.0,384390,21,18304.3,16670.0,14920,31491,4377.3,cudaStreamBeginCapture
0.0,346958,16,21684.9,2990.0,2440,247246,60903.8,cudaStreamCreateWithFlags
0.0,128422,21,6115.3,5770.0,5420,11371,1258.9,cudaStreamEndCapture
0.0,98013,22,4455.1,4025.0,450,10240,3521.2,cuLibraryGetKernel
0.0,61112,17,3594.8,3010.0,2670,9121,1813.6,cudaStreamDestroy
0.0,19491,19,1025.8,570.0,510,5601,1213.1,cudaEventCreateWithFlags
0.0,13760,6,2293.3,2170.0,1550,3530,666.9,cuInit
0.0,12820,19,674.7,550.0,430,2670,504.3,cudaEventDestroy
0.0,7110,1,7110.0,7110.0,7110,7110,0.0,cudaEventRecord
0.0,2840,5,568.0,260.0,200,1810,696.7,cuModuleGetLoadingMode
0.0,1310,2,655.0,655.0,410,900,346.5,cudaGetDriverEntryPoint
