CT2_ALLOC_DEBUG beam step=64 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=65 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=66 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=67 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=68 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=69 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=70 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=71 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=72 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=73 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=74 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=75 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=76 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=77 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=78 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=79 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=80 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=81 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=82 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=83 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=84 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=85 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=86 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=87 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=88 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=89 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=90 allocs=0 frees=0
CT2_ALLOC_DEBUG beam step=91 allocs=0 frees=0
